text,url
Joint Report from Homelessness and Poverty and Housing Committee,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_hp_4-18-18.pdf
Attachment to Report dated 03/08/2019 - Draft Ordinance,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_ord_draft_03-08-2019.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_CAO_03-21-2019.pdf
Report from City Attorney,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_ATTY_03-08-2019.pdf
Report from Housing and Community Investment Department,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_HCI_02-05-19.pdf
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_CA_05-04-2018.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_hp_4-18-18signed.pdf
Motion,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_misc_03-09-2018.pdf
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_CA_01-16-2018.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_hp_1-10-18.pdf
Report from Housing Committee,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_hsg_1-10-18.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_CAO_01-10-2018.pdf
Report from Housing and Community Investment Department,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_HCI_12-29-2017.pdf
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_CA_06-13-2017.pdf
Report from Housing Committee,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_hsg_06-13-2017.pdf
Report from Housing and Community Investment Department,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_rpt_HCI_05-31-2017.pdf
Motion,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_mot_05-12-2017.pdf
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2017/21-0043_CAF_04-19-2019.pdf
